image name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
V0057262F.jpg,,M. E. Jones,,22840,,16 Feb 1927,,,Lepidium virginicum var. tepicense C. L. Hitchc.,,,,Mexico,Nayarit,,,Tepic,Tepic,,,,701318,,Isotype,,
V0469088F.jpg,,Djaja D. Soejarto,T. E. Lockwood,2466,,30 Mar 1970,,,Piper cf. arboreum Aubl.,,,,Colombia,Vaupés,,,Vicinity of Mitu,Vicinity of Mitu,Tropical rain forest cut,200 m,,1821019,,,,"Treelet, 3 m tall, inflorescences white to green, plant odorous"
V0558575F.jpg,,Felix Woytkowski,"Diego Tuesta Diaz, Jorge Woytkowski",34438,,26 Aug 1946,,,Peperomia serpens (Sw.) Loudon,,,,Peru,Loreto,,,Aguaitia,Aguaitia,Upon rocks and old tree trunks,170-180 m,,1307659,,,,"Perennial herb 0.35 m. Flowers green. Leaves soft, fleshy"
V0571031F.jpg,,Debeaux,,,,10 May 1880,,,Frankenia corymbosa Desf.,,,,Algeria,,,,Arzew: a l'embouchure de l'oued,Arzew: a l'embouchure de l'oued,a l'embouchure de l'oued,,,835959,,,,
V0613170F.jpg,,M. A. Lewis,,37731,,22 Sep 1990,,,Stachytarpheta pohliana Cham.,,,,,,,,,,,,,2304360,,,,
V0613171F.jpg,,O. L. Lovelius,,,,13 Jun 1968,,,Turgenia latifolia (L.) Hoffm.,,,,,,,,,,,,,1779118,,,,
V0613172F.jpg,,G. R. Proctor,,35707,,14 Apr 1976,,,Ilex guianensis (Aubl.) Kuntze,,,,,,,,,,,,,1782286,,,,
V0613173F.jpg,,E. L. Ekman,,11287,,22 Jan 1929,,,Ilex berteroi Loes.,,,,,,,,,,,,,1480853,,,,
V0613174F.jpg,,de Heldreich,,455,,29 May 1893,,,Frankenia hispida DC.,,,,Greece,,,,,,in arenosis maritimis,,,842306,,,,
V0613175F.jpg,,Percy H. Gentle,,4755,,15 Aug 1944,,,Passovia pyrifolia (Kunth) Tiegh.,,,,Belize,Toledo,,,"Overhanging river, Rio Grande","Overhanging river, Rio Grande",On tree,,,1968415,,,,
V0613176F.jpg,,D. D. Soejarto,"S. Bouamanivong, M. Sensanang, S. Vorasing",11377,,22 Apr 2000,,,Lagerstroemia ovalifolia Teijsm. & Binn.,,,,Laos,Bolikhamsay,Khamheut,,"Ban Namphao, ca. 5 km east of town proper","Ban Namphao, ca. 5 km east of town proper","Tropical rain forest; a mosaic of cleared lands, previously logged forest with an open canopy, and little disturbed closed canopy forest with Liquidambar, Camellia, and Lagerstroemia association ",500 m,"18 10 N, 05 00 E",2224146,,,,"Tree 7 m tall, dbh 10 cm, bark gray, slash dull purplish white, wood pale brown, flowers deep pink to violet, stames deep yellow, filaments pink-red, fruits dull reddish brown"
V0362457F.jpg,,Tonduz,,2731,,Jun 1890,,,Lonchocarpus orotinus,,,,Costa Rica,,,,,La baie de Salinas,Zone littorale,,,576895,,,,
V0574012F.jpg,,Antonio Molina R. ,Albertina R. Molina,25236,,8 Dec 1969,,,Commelina robusta,,,,Guatemala,Chiquimula,,,,,Dry slopes,900 m,,1695826,,,,
